handle,product_gid,existing_seo_title,new_meta_description,length
absolut-elyx-single-estate-vodka-70cl,gid://shopify/Product/15422107615607,,"Absolut Elyx single Estate Vodka — single-estate winter wheat, distilled by hand in a 1921 copper column still. Same-day London delivery.",137
amaro-nonino-quintessentia-70cl,gid://shopify/Product/15536868950391,,Amaro Nonino Quintessentia — it is the reason half of London is drinking Paper Planes this year. Same-day London delivery.,122
ancho-reyes-original-chile-liqueur-70cl,gid://shopify/Product/15541659402615,,"Ancho Reyes Original Chile Liqueur — poblanos, ripened red and dried in the Puebla sun — macerated in cane spirit for six months. Same-day London delivery.",155
barsol-primero-quebranta-pisco-70cl,gid://shopify/Product/15536905748855,,Barsol Primero Quebranta Pisco — what leaves the still is what enters the bottle. Same-day London delivery.,107
bells-original-whisky,gid://shopify/Product/7473464148124,Bell's Blended Scotch Whisky 35cl | Fast London Delivery,"Bell’s Whisky — a smooth, full-bodied blend of fruit, honey and gentle spice, a British favourite since 1850. Same-day London delivery.",135
beluga-noble-vodka-70cl,gid://shopify/Product/15493799281015,,"Beluga Noble Vodka — barley malt spirit and Siberian water, infused with honey, oat and milk thistle. Same-day London delivery.",127
benedictine-d-o-m-liqueur-70cl,gid://shopify/Product/15541659959671,,"Bénédictine D.O.M. — twenty-seven herbs and spices distilled and rested in oak at Fécamp, in a palace built to make one bottle. Honeyed, saffron-warm.",150
blandys-10-year-old-malmsey-madeira-50cl,gid://shopify/Product/15536908763511,,Blandy's 10 Year Old Malmsey Madeira — a technique discovered when barrels crossed the equator twice and came back better. Same-day London delivery.,148
bowmore-21-year-old-sherry-oak-islay-single-malt-scotch-whisky-70cl,gid://shopify/Product/15536867508599,,"Bowmore 21 Year Old Sherry Oak Islay Single Malt Scotch Whisky — the rare Islay that answers its smoke with dried fruit, dark. Same-day London delivery.",152
bulleit-bourbon,gid://shopify/Product/15298575565175,,"Bulleit Bourbon — a mellow, high-rye American bourbon with a crisp, spicy character. Same-day London delivery.",110
c-by-croe-caviar,gid://shopify/Product/15310205321591,,"C By Croe Caviar Oscietra 30g — firm pearls, delicate salinity and a long, nutty finish, in the size built for two. Same-day London delivery.",141
canon-half-2018,gid://shopify/Product/7987716030620,Château Canon 2018 Half Bottle 37.5cl | Wine Delivery London,"Canon Half 2018 — black cherry, cassis and dark chocolate over silk. Same-day London delivery.",94
carmel-signature-mediterranean-2-vats-2020-kosher-75cl,gid://shopify/Product/15547150664055,,"Carmel Signature 2 Vats 2020 — a small-lot Galilee blend, warm and dark-fruited, from the winery Rothschild founded in 1882. Kosher. Same-day London delivery.",158
carpano-antica-formula-vermouth-100cl,gid://shopify/Product/15542083813751,,"Carpano Antica Formula — Turin's original 1786 vermouth recipe. Vanilla, bitter orange, clove and dried fig, in a full litre. Same-day London delivery.",151
chambord-black-raspberry-liqueur-70cl,gid://shopify/Product/15540893909367,,"Chambord Black Raspberry Liqueur — poured from the roundest, most recognisable bottle in any back bar. Same-day London delivery.",128
champagne-telmont-reserve-brut-nv-75cl,gid://shopify/Product/15536791290231,,"Champagne Telmont Réserve Brut NV — a family house in Damery since 1912, now Champagne's most talked-about name. Orchard fruit, brioche and citrus.",147
charbonnel-et-walker-james-bond-mini-chocolate-bar-selection-270g,gid://shopify/Product/15483535163767,,Charbonnel et Walker - James Bond Mini Chocolate Bar Selection (270g) — a stylish celebration of Britain's most famous secret agent. Same-day London delivery.,158
chateau-de-fargues-lur-saluces-semillon-sauvignon-blanc-2005,gid://shopify/Product/8222608621724,Château de Fargues 2005 75cl | Fine Wine Delivery London,"Château de Fargues Lur Saluces Semillon-Sauvignon Blanc 2005 — apricot, honey and candied citrus from the Lur Saluces family. Same-day London delivery.",151
chateau-de-laubade-xo-bas-armagnac-70cl,gid://shopify/Product/15536871604599,,"Château de Laubade XO Bas-Armagnac — distilled once, not twice, on a single continuous still in Gascony, then left in black oak over a decade.",142
chateau-du-domaine-de-l-eglise-pomerol-2019-75cl,gid://shopify/Product/15274254500215,,Château du Domaine de L’Eglise Pomerol 2019 — 98% Merlot from 60- to 70-year-old vines on Pomerol’s gravelly clay. Same-day London delivery.,140
chateau-marquis-dalesme-margaux-gcc-2019,gid://shopify/Product/15419442069879,Chateau Marquis D'Alesme Margaux GCC 2019 | Drinks House 247,"Chateau Marquis D'Alesme Margaux GCC 2019 — crushed roses and blueberries from one of Margaux’s oldest estates, with vines. Same-day London delivery.",149
